UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Programme,Unit,Value
10007161,Teesside University,England,North East,2017/18,ESF income,£000s,48.0
10007161,Teesside University,England,North East,2017/18,UK Government regeneration funds,£000s,4.0
10007161,Teesside University,England,North East,2017/18,Other regeneration grants and income from local and regional bodies,£000s,143.0
10007161,Teesside University,England,North East,2017/18,Total programmes,£000s,1619.0
10007161,Teesside University,England,North East,2017/18,Capital income (attributable to survey year),£000s,298.0
10007161,Teesside University,England,North East,2017/18,UK shared prosperity fund,£000s,0.0
10007161,Teesside University,England,North East,2018/19,Other,£000s,32.0
10007161,Teesside University,England,North East,2018/19,ERDF income,£000s,1564.0
10007161,Teesside University,England,North East,2018/19,ESF income,£000s,64.0
10007161,Teesside University,England,North East,2018/19,UK Government regeneration funds,£000s,118.0
10007161,Teesside University,England,North East,2018/19,Other regeneration grants and income from local and regional bodies,£000s,242.0
10007161,Teesside University,England,North East,2018/19,Total programmes,£000s,2020.0
10007161,Teesside University,England,North East,2018/19,Capital income (attributable to survey year),£000s,817.0
10007161,Teesside University,England,North East,2018/19,UK shared prosperity fund,£000s,0.0
10007161,Teesside University,England,North East,2019/20,Other,£000s,0.0
10007161,Teesside University,England,North East,2019/20,ERDF income,£000s,1371.0
10007161,Teesside University,England,North East,2019/20,ESF income,£000s,130.0
10007161,Teesside University,England,North East,2019/20,UK Government regeneration funds,£000s,58.0
10007161,Teesside University,England,North East,2019/20,Other regeneration grants and income from local and regional bodies,£000s,262.0
10007161,Teesside University,England,North East,2019/20,Total programmes,£000s,1821.0
10007161,Teesside University,England,North East,2019/20,Capital income (attributable to survey year),£000s,1391.0
10007161,Teesside University,England,North East,2019/20,UK shared prosperity fund,£000s,0.0
10007161,Teesside University,England,North East,2020/21,Other,£000s,57.0
10007161,Teesside University,England,North East,2020/21,ERDF income,£000s,1734.0
10007161,Teesside University,England,North East,2020/21,ESF income,£000s,215.0
10007161,Teesside University,England,North East,2020/21,UK Government regeneration funds,£000s,159.0
10007161,Teesside University,England,North East,2020/21,Other regeneration grants and income from local and regional bodies,£000s,306.0
10007161,Teesside University,England,North East,2020/21,Total programmes,£000s,2471.0
10007161,Teesside University,England,North East,2020/21,Capital income (attributable to survey year),£000s,1526.0
10007161,Teesside University,England,North East,2020/21,UK shared prosperity fund,£000s,0.0
10007161,Teesside University,England,North East,2021/22,Other,£000s,42.0
10007161,Teesside University,England,North East,2021/22,ERDF income,£000s,2436.0
10007161,Teesside University,England,North East,2021/22,ESF income,£000s,173.0
10007161,Teesside University,England,North East,2021/22,UK Government regeneration funds,£000s,249.0
10007161,Teesside University,England,North East,2021/22,Other regeneration grants and income from local and regional bodies,£000s,427.0
10007161,Teesside University,England,North East,2021/22,Total programmes,£000s,3327.0
10007161,Teesside University,England,North East,2021/22,Capital income (attributable to survey year),£000s,1275.0
10007161,Teesside University,England,North East,2021/22,UK shared prosperity fund,£000s,0.0
10007161,Teesside University,England,North East,2022/23,Other,£000s,67.0
10007161,Teesside University,England,North East,2022/23,ERDF income,£000s,4627.0
10007161,Teesside University,England,North East,2022/23,ESF income,£000s,125.0
10007161,Teesside University,England,North East,2022/23,UK Government regeneration funds,£000s,394.0
10007161,Teesside University,England,North East,2022/23,Other regeneration grants and income from local and regional bodies,£000s,1368.0
10007161,Teesside University,England,North East,2022/23,Total programmes,£000s,6598.0
10007161,Teesside University,England,North East,2022/23,Capital income (attributable to survey year),£000s,1338.0
10007161,Teesside University,England,North East,2022/23,UK shared prosperity fund,£000s,17.0
10007161,Teesside University,England,North East,2023/24,Other,£000s,58.0
10007161,Teesside University,England,North East,2023/24,ERDF income,£000s,19.0
10007161,Teesside University,England,North East,2023/24,ESF income,£000s,40.0
10007161,Teesside University,England,North East,2023/24,UK Government regeneration funds,£000s,373.0
10007161,Teesside University,England,North East,2023/24,Other regeneration grants and income from local and regional bodies,£000s,212.0
10007161,Teesside University,England,North East,2023/24,Total programmes,£000s,941.0
10007161,Teesside University,England,North East,2023/24,Capital income (attributable to survey year),£000s,1636.0
10007161,Teesside University,England,North East,2023/24,UK shared prosperity fund,£000s,239.0
