UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Nature of Event,Metric,Type of event,Value
10007799,Newcastle University,England,North East,2015/16,Chargeable events,Attendees,Museum education,4343
10007799,Newcastle University,England,North East,2015/16,Chargeable events,Attendees,Other,6904
10007799,Newcastle University,England,North East,2015/16,Free events,Academic staff time (days),Public lectures,292
10007799,Newcastle University,England,North East,2015/16,Free events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",32
10007799,Newcastle University,England,North East,2015/16,Free events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",77
10007799,Newcastle University,England,North East,2015/16,Free events,Academic staff time (days),Museum education,38
10007799,Newcastle University,England,North East,2015/16,Free events,Academic staff time (days),Other,740
10007799,Newcastle University,England,North East,2015/16,Free events,Attendees,Public lectures,30907
10007799,Newcastle University,England,North East,2015/16,Free events,Attendees,"Performance arts (music, dance, drama etc.)",7689
10007799,Newcastle University,England,North East,2015/16,Free events,Attendees,"Exhibitions (galleries, museums etc.)",543181
10007799,Newcastle University,England,North East,2015/16,Free events,Attendees,Museum education,87498
10007799,Newcastle University,England,North East,2015/16,Free events,Attendees,Other,85028
10007799,Newcastle University,England,North East,2016/17,Chargeable events,Academic staff time (days),Public lectures,17
10007799,Newcastle University,England,North East,2016/17,Chargeable events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",88
10007799,Newcastle University,England,North East,2016/17,Chargeable events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",0
10007799,Newcastle University,England,North East,2016/17,Chargeable events,Academic staff time (days),Museum education,10
10007799,Newcastle University,England,North East,2016/17,Chargeable events,Academic staff time (days),Other,23
10007799,Newcastle University,England,North East,2016/17,Chargeable events,Attendees,Public lectures,2841
10007799,Newcastle University,England,North East,2016/17,Chargeable events,Attendees,"Performance arts (music, dance, drama etc.)",2949
10007799,Newcastle University,England,North East,2016/17,Chargeable events,Attendees,"Exhibitions (galleries, museums etc.)",800
10007799,Newcastle University,England,North East,2016/17,Chargeable events,Attendees,Museum education,415
10007799,Newcastle University,England,North East,2016/17,Chargeable events,Attendees,Other,8670
10007799,Newcastle University,England,North East,2016/17,Free events,Academic staff time (days),Public lectures,245
10007799,Newcastle University,England,North East,2016/17,Free events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",38
10007799,Newcastle University,England,North East,2016/17,Free events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",67
10007799,Newcastle University,England,North East,2016/17,Free events,Academic staff time (days),Museum education,119
10007799,Newcastle University,England,North East,2016/17,Free events,Academic staff time (days),Other,666
10007799,Newcastle University,England,North East,2016/17,Free events,Attendees,Public lectures,20309
