UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Source of public funding,Type of income,Unit,Value
10007143,University of Durham,England,North East,2023/24,All,Total,£000s,15844.0
10007143,University of Durham,England,North East,2023/24,All,Previous year's total,£000s,12438.0
10007143,University of Durham,England,North East,2023/24,EU government,Public funding,£000s,1066.0
10007143,University of Durham,England,North East,2023/24,EU government,Collaborative contribution - Cash,£000s,0.0
10007143,University of Durham,England,North East,2023/24,EU government,Collaborative contribution - In kind,£000s,28.0
10007143,University of Durham,England,North East,2023/24,EU government,Total,£000s,1094.0
10007143,University of Durham,England,North East,2023/24,EU government,Previous year's total,£000s,917.0
10007143,University of Durham,England,North East,2023/24,Other,Public funding,£000s,901.0
10007143,University of Durham,England,North East,2023/24,Other,Collaborative contribution - Cash,£000s,345.0
10007143,University of Durham,England,North East,2023/24,Other,Collaborative contribution - In kind,£000s,123.0
10007143,University of Durham,England,North East,2023/24,Other,Total,£000s,1369.0
10007143,University of Durham,England,North East,2023/24,Other,Previous year's total,£000s,304.0
10007143,University of Durham,England,North East,2023/24,Other UK government departments,Public funding,£000s,702.0
10007143,University of Durham,England,North East,2023/24,Other UK government departments,Collaborative contribution - Cash,£000s,146.0
10007143,University of Durham,England,North East,2023/24,Other UK government departments,Collaborative contribution - In kind,£000s,69.0
10007143,University of Durham,England,North East,2023/24,Other UK government departments,Total,£000s,917.0
10007143,University of Durham,England,North East,2023/24,Other UK government departments,Previous year's total,£000s,366.0
10007143,University of Durham,England,North East,2023/24,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,10741.0
10007143,University of Durham,England,North East,2023/24,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,365.0
10007143,University of Durham,England,North East,2023/24,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,1358.0
10007143,University of Durham,England,North East,2023/24,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,12464.0
10007143,University of Durham,England,North East,2023/24,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,10851.0
10007799,Newcastle University,England,North East,2015/16,All,Public funding,£000s,52102.0
10007799,Newcastle University,England,North East,2015/16,All,Collaborative contribution - Cash,£000s,2661.0
10007799,Newcastle University,England,North East,2015/16,All,Collaborative contribution - In kind,£000s,2836.0
10007799,Newcastle University,England,North East,2015/16,All,Total,£000s,57599.0
10007799,Newcastle University,England,North East,2015/16,All,Previous year's total,£000s,52107.0
10007799,Newcastle University,England,North East,2015/16,BEIS Research Councils,Public funding,£000s,11995.0
10007799,Newcastle University,England,North East,2015/16,BEIS Research Councils,Collaborative contribution - Cash,£000s,656.0
10007799,Newcastle University,England,North East,2015/16,BEIS Research Councils,Collaborative contribution - In kind,£000s,840.0
10007799,Newcastle University,England,North East,2015/16,BEIS Research Councils,Total,£000s,13491.0
10007799,Newcastle University,England,North East,2015/16,BEIS Research Councils,Previous year's total,£000s,11967.0
10007799,Newcastle University,England,North East,2015/16,EU government,Public funding,£000s,9777.0
10007799,Newcastle University,England,North East,2015/16,EU government,Collaborative contribution - Cash,£000s,1465.0
10007799,Newcastle University,England,North East,2015/16,EU government,Collaborative contribution - In kind,£000s,1493.0
10007799,Newcastle University,England,North East,2015/16,EU government,Total,£000s,12735.0
10007799,Newcastle University,England,North East,2015/16,EU government,Previous year's total,£000s,13221.0
10007799,Newcastle University,England,North East,2015/16,Other,Public funding,£000s,10455.0
10007799,Newcastle University,England,North East,2015/16,Other,Collaborative contribution - Cash,£000s,0.0
10007799,Newcastle University,England,North East,2015/16,Other,Collaborative contribution - In kind,£000s,301.0
10007799,Newcastle University,England,North East,2015/16,Other,Total,£000s,10756.0
10007799,Newcastle University,England,North East,2015/16,Other,Previous year's total,£000s,10701.0
10007799,Newcastle University,England,North East,2015/16,Other UK government departments,Public funding,£000s,19875.0
10007799,Newcastle University,England,North East,2015/16,Other UK government departments,Collaborative contribution - Cash,£000s,540.0
10007799,Newcastle University,England,North East,2015/16,Other UK government departments,Collaborative contribution - In kind,£000s,202.0
10007799,Newcastle University,England,North East,2015/16,Other UK government departments,Total,£000s,20617.0
10007799,Newcastle University,England,North East,2015/16,Other UK government departments,Previous year's total,£000s,16218.0
10007799,Newcastle University,England,North East,2016/17,All,Public funding,£000s,51609.0
10007799,Newcastle University,England,North East,2016/17,All,Collaborative contribution - Cash,£000s,2239.0
10007799,Newcastle University,England,North East,2016/17,All,Collaborative contribution - In kind,£000s,3155.0
10007799,Newcastle University,England,North East,2016/17,All,Total,£000s,57003.0
10007799,Newcastle University,England,North East,2016/17,All,Previous year's total,£000s,57599.0
10007799,Newcastle University,England,North East,2016/17,BEIS Research Councils,Public funding,£000s,14313.0
10007799,Newcastle University,England,North East,2016/17,BEIS Research Councils,Collaborative contribution - Cash,£000s,587.0
10007799,Newcastle University,England,North East,2016/17,BEIS Research Councils,Collaborative contribution - In kind,£000s,1679.0
10007799,Newcastle University,England,North East,2016/17,BEIS Research Councils,Total,£000s,16579.0
10007799,Newcastle University,England,North East,2016/17,BEIS Research Councils,Previous year's total,£000s,13491.0
10007799,Newcastle University,England,North East,2016/17,EU government,Public funding,£000s,8772.0
10007799,Newcastle University,England,North East,2016/17,EU government,Collaborative contribution - Cash,£000s,1157.0
10007799,Newcastle University,England,North East,2016/17,EU government,Collaborative contribution - In kind,£000s,874.0
10007799,Newcastle University,England,North East,2016/17,EU government,Total,£000s,10803.0
10007799,Newcastle University,England,North East,2016/17,EU government,Previous year's total,£000s,12735.0
10007799,Newcastle University,England,North East,2016/17,Other,Public funding,£000s,11937.0
10007799,Newcastle University,England,North East,2016/17,Other,Collaborative contribution - Cash,£000s,0.0
10007799,Newcastle University,England,North East,2016/17,Other,Collaborative contribution - In kind,£000s,479.0
10007799,Newcastle University,England,North East,2016/17,Other,Total,£000s,12416.0
10007799,Newcastle University,England,North East,2016/17,Other,Previous year's total,£000s,10756.0
10007799,Newcastle University,England,North East,2016/17,Other UK government departments,Public funding,£000s,16587.0
10007799,Newcastle University,England,North East,2016/17,Other UK government departments,Collaborative contribution - Cash,£000s,495.0
10007799,Newcastle University,England,North East,2016/17,Other UK government departments,Collaborative contribution - In kind,£000s,123.0
10007799,Newcastle University,England,North East,2016/17,Other UK government departments,Total,£000s,17205.0
10007799,Newcastle University,England,North East,2016/17,Other UK government departments,Previous year's total,£000s,20617.0
10007799,Newcastle University,England,North East,2017/18,All,Public funding,£000s,52409.0
10007799,Newcastle University,England,North East,2017/18,All,Collaborative contribution - Cash,£000s,1234.0
10007799,Newcastle University,England,North East,2017/18,All,Collaborative contribution - In kind,£000s,2801.0
10007799,Newcastle University,England,North East,2017/18,All,Total,£000s,56444.0
